cod;chave_talhao;parc;hd;volume;idade;genotipo;prec_mm
1;T7;1;18,98;106,4863868;2,695890411;G11;1400
2;T7;1;23,32;147,5765972;3,42739726;G11;1400
3;T7;1;24,5;179,435422;4,460273973;G11;1400
4;T7;1;24,94;188,5470289;5,42739726;G11;1400
5;T7;2;19,28;111,4038807;2,695890411;G11;1400
6;T7;2;20,5;156,9480158;3,42739726;G11;1400
7;T7;2;23,44;181,1193511;4,460273973;G11;1400
8;T7;2;23,5;181,6232572;5,430136986;G11;1400
9;T7;3;19,62;103,9301333;2,695890411;G11;1400
10;T7;3;23;150,9069822;3,42739726;G11;1400
11;T7;3;25,94;179,8642317;4,460273973;G11;1400
12;T7;3;25,06;185,6077195;5,42739726;G11;1400
13;T8;4;18,4;99,54909209;2,695890411;G11;1400
14;T8;4;19,9;140,8273907;3,42739726;G11;1400
15;T8;4;21,68;163,1759451;4,479452055;G11;1400
16;T8;4;21,56;154,6209789;5,446575342;G11;1400
17;T8;5;20,18;103,8455194;2,695890411;G11;1400
18;T8;5;22,58;150,8408561;3,42739726;G11;1400
19;T8;5;25,06666667;179,2253971;4,479452055;G11;1400
20;T8;5;26,62;195,912055;5,487671233;G11;1400
21;T1;6;21,24;111,0557791;2,695890411;G12;1400
22;T1;6;26,02;149,2543553;3,42739726;G12;1400
23;T1;6;28,34;170,7732518;4,487671233;G12;1400
24;T1;6;30,4;202,2005058;5,495890411;G12;1400
25;T2;7;17,18;107,670424;2,745205479;G12;1400
26;T2;7;21,32;142,1079204;3,476712329;G12;1400
27;T2;7;24;157,8547641;4,452054795;G12;1400
28;T2;7;23,44;160,9849493;5,460273973;G12;1400
29;T2;8;23,5;112,5307404;2,778082192;G12;1400
30;T2;8;26,66;143,1911393;3,476712329;G12;1400
31;T2;8;28,12;160,5099325;4,452054795;G12;1400
32;T2;8;29,62;188,3052804;5,460273973;G12;1400
33;T2;9;23;126,307077;2,745205479;G12;1400
34;T2;9;27,3;176,2989625;3,476712329;G12;1400
35;T2;9;30,08;196,6673317;4,452054795;G12;1400
36;T2;9;31,9;246,4828654;5,460273973;G12;1400
37;T3;10;18,82;110,2647308;2,671232877;G12;1400
38;T3;10;22,52;148,0140167;3,402739726;G12;1400
39;T3;10;24;169,7181661;4,452054795;G12;1400
40;T3;10;26,72;190,8530048;5,460273973;G12;1400
41;T3;11;18,8;121,2361324;2,704109589;G12;1400
42;T3;11;23,96;165,6685892;3,402739726;G12;1400
43;T3;11;25,18333333;188,118364;4,452054795;G12;1400
44;T3;11;26,04;213,2570371;5,460273973;G12;1400
45;T3;12;17,74;99,41655885;2,671232877;G12;1400
46;T3;12;22,1;141,2977367;3,402739726;G12;1400
47;T3;12;24,05;162,6178898;4,452054795;G12;1400
48;T3;12;24,68;170,5492916;5,460273973;G12;1400
49;T4;13;15,94;103,2966688;2,701369863;G20;1400
50;T4;13;19,14;155,5640696;3,432876712;G20;1400
51;T4;13;22,1;156,3344653;4,545205479;G20;1400
52;T4;13;23,44;174,8866331;5,515068493;G20;1400
53;T4;14;18,1;106,7269714;2,734246575;G20;1400
54;T4;14;20,18;151,815459;3,432876712;G20;1400
55;T4;14;22;168,8067156;4,545205479;G20;1400
56;T4;14;24,46;200,8121324;5,515068493;G20;1400
57;T5;15;18,26;110,4947959;2,698630137;G20;1400
58;T5;15;20,42;155,418094;3,397260274;G20;1400
59;T5;15;22,64;183,2827712;4,452054795;G20;1400
60;T5;15;24,44;197,0553941;5,421917808;G20;1400
61;T5;16;18,18333333;113,4646804;2,698630137;G20;1400
62;T5;16;19,92;161,363144;3,397260274;G20;1400
63;T5;16;23;194,9618678;4,452054795;G20;1400
64;T5;16;25,08;212,5985016;5,421917808;G20;1400
65;T5;17;17,94;99,0713167;2,698630137;G20;1400
66;T5;17;20,64;142,8694007;3,397260274;G20;1400
67;T5;17;23,65;165,1955566;4,452054795;G20;1400
68;T5;17;24,64;196,7274436;5,421917808;G20;1400
69;T5;18;16,58;98,08584437;2,698630137;G20;1400
70;T5;18;19,7;143,8991167;3,397260274;G20;1400
71;T5;18;21,5;151,2098946;4,452054795;G20;1400
72;T5;18;24,08;187,3521659;5,421917808;G20;1400
73;T6;19;21,86;123,1674849;2,665753425;G9;1400
74;T6;19;23,9;164,697688;3,364383562;G9;1400
75;T6;19;27,88;203,0751719;4,452054795;G9;1400
76;T6;19;26,38;215,1532274;5,421917808;G9;1400
77;T202;20;18,66;101,4262758;2,767123288;G13;1400
78;T202;20;22,28;126,0759087;3,515068493;G13;1400
79;T202;20;24,24;163,563907;4,476712329;G13;1400
80;T202;20;26;198,8556661;5,416666667;G13;1400
81;T202;21;19,34;109,5865678;2,764383562;G13;1400
