estrato;talhao;parc;x;y;idade;vol
regiao01;T01;1;723607,1121;7953328,235;3;129,2891
regiao01;T01;1;723607,1121;7953328,235;3,24;138,8052
regiao01;T01;1;723607,1121;7953328,235;4,4;157,9952
regiao01;T01;1;723607,1121;7953328,235;7,39;324,5124
regiao01;T01;2;723607,1121;7953120,151;2,53;109,3482
regiao01;T01;2;723607,1121;7953120,151;3,91;162,2904
regiao01;T01;2;723607,1121;7953120,151;7,46;322,3284
regiao01;T01;3;723815,1964;7952079,729;2,83;130,1086
regiao01;T01;3;723815,1964;7952079,729;3,83;134,4325
regiao01;T01;3;723815,1964;7952079,729;4,27;176,2175
regiao01;T01;3;723815,1964;7952079,729;5,06;197,0549
regiao01;T01;3;723815,1964;7952079,729;6,67;249,0681
regiao01;T01;3;723815,1964;7952079,729;7,59;296,7351
regiao01;T01;4;723815,1964;7952912,066;2,66;92,874
regiao01;T01;4;723815,1964;7952912,066;4,3;140,2873
regiao01;T01;4;723815,1964;7952912,066;6,45;242,5641
regiao01;T01;5;724023,2807;7951871,645;2,68;80,9317
regiao01;T01;5;724023,2807;7951871,645;3,21;139,9268
regiao01;T01;5;724023,2807;7951871,645;4,27;223,9888
regiao01;T01;5;724023,2807;7951871,645;5,49;254,6742
regiao01;T01;5;724023,2807;7951871,645;6,05;264,5661
regiao01;T01;6;723815,1964;7953952,488;2,54;76,284
regiao01;T01;6;723815,1964;7953952,488;3,66;184,2535
regiao01;T01;6;723815,1964;7953952,488;4,51;197,5534
regiao01;T01;6;723815,1964;7953952,488;6,94;226,839
regiao01;T01;7;724023,2807;7952703,982;2,75;133,5249
regiao01;T01;7;724023,2807;7952703,982;3,73;174,1725
regiao01;T01;7;724023,2807;7952703,982;4,88;192,8631
regiao01;T01;7;724023,2807;7952703,982;5,62;252,3374
regiao01;T01;7;724023,2807;7952703,982;6,75;252,5312
regiao01;T01;7;724023,2807;7952703,982;7,35;348,773
regiao01;T01;8;723815,1964;7952703,982;2,94;106,5984
regiao01;T01;8;723815,1964;7952703,982;3,38;147,8095
regiao01;T01;8;723815,1964;7952703,982;5,76;299,5617
regiao01;T01;9;724023,2807;7951663,56;2,01;28,1282
regiao01;T01;9;724023,2807;7951663,56;5,71;218,9514
regiao01;T01;9;724023,2807;7951663,56;6,47;257,7892
regiao01;T01;9;724023,2807;7951663,56;7,76;361,6929
regiao01;T01;10;723607,1121;7953952,488;2,19;43,9523
regiao01;T01;10;723607,1121;7953952,488;4,46;187,4836
